Date,Strategy,Benchmark
2025-05-22,12384.177674073006,9967.280469594009
2025-05-23,12369.537297914581,9899.247115735603
2025-05-27,12430.571328955946,10105.058403753297
2025-05-28,12406.170257910526,10046.595709961228
2025-05-29,12424.987839598769,10086.253856352228
2025-05-30,12417.232743165816,10074.971969843418
2025-06-02,12455.841037932678,10131.7244896078
2025-06-03,12500.861666147659,10189.502061374007
2025-06-04,12497.413912407705,10186.765782929706
2025-06-05,12447.546117844107,10137.534871642794
2025-06-06,12560.139816240444,10241.637637471023
2025-06-09,12557.927165757063,10250.868367561394
2025-06-10,12551.361068020557,10308.98797413314
2025-06-11,12556.185350609958,10279.586662249123
2025-06-12,12544.993247765293,10320.440351837327
2025-06-13,12587.563215698106,10205.056751915074
2025-06-16,12596.067870171268,10302.14938285196
2025-06-17,12577.913435409308,10214.115938395284
2025-06-18,12576.463434727111,10212.578360392543
2025-06-20,12566.097325810217,10188.59277499867
2025-06-23,12614.263110107857,10289.2309913505
2025-06-24,12679.830174427032,10402.898102756348
2025-06-25,12683.803807823191,10408.727428257494
2025-06-26,12739.315588324167,10490.163284419046
2025-06-27,12774.842984366422,10542.282021879482
2025-06-30,12809.202466494804,10592.687428067871
2025-07-01,12806.865203883377,10589.258660694204
2025-07-02,12839.587597835185,10637.262456340324
2025-07-03,12896.735749120893,10721.098870629357
2025-07-07,12842.275665055877,10641.205854544478
2025-07-08,12838.302749051556,10635.377581458115
2025-07-09,12881.776694494292,10699.15391750606
2025-07-10,12902.345753301788,10729.328754257987
2025-07-11,12876.634429792419,10691.61020831808
2025-07-14,12890.541070591222,10712.011268949918
2025-07-15,12858.338112554393,10666.236487821117
2025-07-16,12884.986136316484,10701.89651043908
2025-07-17,12940.876913678165,10767.388282588645
2025-07-18,12932.295159085466,10759.502538595127
2025-07-21,12952.805084906797,10779.904651641751
2025-07-22,12941.208666820956,10781.447491718423
2025-07-23,12930.799670844324,10873.17070241576
2025-07-24,12930.130361809166,10876.769960984802
2025-07-25,12937.572027327977,10922.717338138553
2025-07-28,12936.817305790473,10919.974745205534
2025-07-29,12928.890991991573,10891.171204920118
2025-07-30,12925.116805085685,10877.456135425451
2025-07-31,12909.90627865681,10836.652961746988
2025-08-01,12924.519430994313,10659.034813438673
2025-08-04,12938.704017073,10821.049860125753
2025-08-05,12927.49723447309,10766.187477317511
2025-08-06,12949.491596508107,10848.653647554822
2025-08-07,12945.120832043009,10839.566045875383
2025-08-08,12983.261670616452,10924.088634605063
2025-08-11,12971.28277334528,10902.48676870209
2025-08-12,13028.536313014745,11018.555490650206
2025-08-13,13024.67906765996,11056.272984175326
2025-08-14,13024.158932918424,11057.301193421512
2025-08-15,13027.400888391643,11031.413894508849
2025-08-18,13026.183399595133,11029.012283966582
2025-08-19,13014.34513990003,10969.178293708002
2025-08-20,13005.411358529218,10940.032718617049
2025-08-21,12989.456139640428,10896.142812370455
2025-08-22,13050.285602945169,11063.473606142985
2025-08-25,13032.58466029392,11014.781531226643
2025-08-26,13049.35057141428,11060.901504405341
2025-08-27,13057.512273570663,11086.103681292141
2025-08-28,13074.322371363261,11125.364014893934
2025-08-29,13037.266252675146,11059.015577108345
2025-09-02,12984.328543946931,10977.065090116308
2025-09-03,13026.446200337816,11036.555993154563
2025-09-04,13091.573117702083,11128.792782267601
2025-09-05,13094.70563325914,11096.561527023305
2025-09-08,13090.61731244103,11123.821174817263
2025-09-09,13091.926868708237,11149.53798253455
2025-09-10,13096.709583035234,11181.770290193632
2025-09-11,13120.682558895844,11274.693253747319
2025-09-12,13118.334292635729,11270.920346738541
2025-09-15,13144.096156505251,11330.925880607283
2025-09-16,13134.762794869777,11315.32488381562
2025-09-17,13125.012392740355,11301.266727100628
2025-09-18,13162.548248651492,11354.071639001711
2025-09-19,13202.522158462272,11410.306370691249
2025-09-22,13240.89513689986,11464.288934738168
2025-09-23,13196.53437588703,11401.882842741947
2025-09-24,13169.747411198301,11365.606105059229
2025-09-25,13126.86606652094,11313.171643162912
2025-09-26,13183.358766546604,11377.98566019012
2025-09-29,13213.53087971561,11409.962231056139
2025-09-30,13258.19225801957,11452.941798512607
2025-10-01,13303.058279938256,11491.968496031848
2025-10-02,13304.04829725929,11505.204716798762
2025-10-03,13303.862769868572,11505.034225603387
2025-10-06,13295.26460486327,11546.294147299091
2025-10-07,13306.489653258941,11503.486123452783
2025-10-08,13282.680233664738,11572.082519221845
2025-10-09,13297.986826574013,11538.557846205224
2025-10-10,13460.059983834279,11226.695772589916
2025-10-13,13343.977127820985,11398.959234465688
2025-10-14,13341.75669825252,11385.033682013767
2025-10-15,13349.621483220282,11435.578006953943
2025-10-16,13328.159222480737,11357.699312769984
2025-10-17,13349.76901819741,11422.169190162082
2025-10-20,13400.821031133737,11540.964718821422
2025-10-21,13399.73046551718,11540.792122796474
2025-10-22,13362.053633573878,11480.79290341645
2025-10-23,13408.594625338215,11548.873615940238
2025-10-24,13482.667467566294,11643.257331217266
2025-10-27,13589.470903148213,11780.620613950763
2025-10-28,13616.680292233446,11811.909957961348
2025-10-29,13610.337421962038,11817.58352607413
2025-10-30,13619.88831334272,11687.61240479939
2025-10-31,13613.916644374889,11725.95082304841
2025-11-03,13608.777502702991,11747.95681622931
2025-11-04,13654.130828429003,11608.7012917101
2025-11-05,13632.963699556738,11648.930899330047
2025-11-06,13622.24504668818,11523.945066897868
2025-11-07,13623.218074842,11535.291150708641
2025-11-10,13638.654754492953,11715.291966093071
2025-11-11,13640.954696654517,11742.110652091582
2025-11-12,13639.50744206593,11748.644043084745
2025-11-13,13656.033454419996,11553.68630875785
2025-11-14,13655.584335507774,11551.79617180171
2025-11-17,13674.248985102426,11444.174130928195
2025-11-18,13695.437353103196,11348.071822305188
2025-11-19,13698.296647583553,11391.91121264204
2025-11-20,13666.78370067857,11218.272244640611
2025-11-21,13695.371928842547,11330.019751476304
2025-11-24,13753.230438575032,11496.78118884946
2025-11-25,13800.794194605536,11604.918912968247
2025-11-26,13836.032349851394,11685.03398857303
2025-11-28,13864.08631896371,11748.815586694907
2025-12-01,13840.49376647221,11695.177162283097
2025-12-02,13850.02160817238,11716.839015828888
2025-12-03,13867.86727465564,11757.411710669157
2025-12-04,13871.648230347571,11766.00783464341
2025-12-05,13881.478344827716,11788.356915044633
2025-12-08,13865.90134433933,11752.94210507187
2025-12-09,13861.439464819923,11742.797878947016
2025-12-10,13889.495628823666,11820.678677960548
2025-12-11,13887.287843532527,11848.184590814493
2025-12-12,13898.602479967121,11720.792938180903
2025-12-15,13899.982398410582,11703.085006987129
2025-12-16,13901.00542295995,11671.108436121109
2025-12-17,13889.012838307894,11542.684364582186
2025-12-18,13903.017288252868,11629.846409595832
2025-12-19,13930.216854738412,11735.25311734425
